Stage,Num,Talk
1,1,헤데라룸의 사제로서 여러분을 보호하겠습니다
1,2,두려워 마십시오. 신께서 모두를 돌보십니다
1,3,전선은 소문보다 더 참혹하군요… 제가 더 바빠지겠습니다
2,1,어지러운 세상이라도 행동하는 신념은 빛나는 법입니다
2,2,마땅히 해야 할 일입니다. 믿고 맡겨주시니 감개무량하군요
2,3,도움이 필요한 이에게는 언제든 손을 내밀어야 합니다
3,1,앞길이 막힐 때는 제가 도움이 되고 싶군요
3,2,마법이 궁금하십니까? 설명이 길어질 테니 약속을 잡으시죠
3,3,무엇이든 물어보시죠. …시간을 돌리는 법이요? 있을 리가요
4,1,헤데라룸은 작고 젊은 종교입니다. 저도 2년 전에 옮겨왔죠
4,2,8년 전 사제가 되고 겪은 일은... 저 숲의 나무처럼 무수합니다
4,3,알려드릴 수 있는 거요? 신어. 정치학. 영지 경영. 대륙 지리…
5,1,신께서는 도움을 구하는 자의 손을 잡으십니다. 누구든요
5,2,태어난 곳보다 자란 곳. 자란 곳보다 사는 곳이 중요합니다
5,3,공치사는 미뤄두시죠. 데노바 지휘관 역시 누군가의 은인입니다
6,1,알맞은 전리품과 몇 수 앞을 내다보는 지휘… 당신의 진가군요
6,2,늘 저를 놀라게 해주시는군요. 오늘도 뛰어난 전략이었습니다
6,3,전장의 지휘관은 여느 때보다 굳세고 일위하시군요
7,1,지휘관은 오늘 승리로 수백 명을 구했습니다. 자신을 가지시지요
7,2,전장에서는 늘 훌륭한 선생이 되어주시는군요. 고맙습니다
7,3,지휘관은 뛰어난 상관입니다. 알고 계십니까?
8,1,늘 믿음직한 모습을 보여주시는군요. 지휘관의 귀감이십니다
8,2,지휘관님을 보면 음유 시인이 떠오릅니다. 인기가 많으시겠군요
8,3,무수히 손을 내주는 식물도 기댄 곳 없이는 손을 뻗지 못합니다
9,1,대전쟁의 마지막 종소리가 들리는군요. 지휘관 덕입니다
9,2,길었던 전쟁이 막을 내리려나 봅니다. 지휘관도 느껴지십니까?
9,3,아무리 두꺼운 책도 덮을 때는 옵니다. 마지막까지 지켜주시지요
10,1,가끔 이곳이 꿈에 나오겠군요. 지휘관님도 그리울 겁니다
