Stage,Num,Talk
1,1,반갑습니다. 앞으로 잘해봅시다
1,2,앞으로도 잘 부탁합니다
1,3,잘 맞춰갈 수 있겠군요
2,1,지휘관님의 선택을 믿겠습니다
2,2,대기하겠습니다
2,3,… 도움이 되었습니다
3,1,정비하고 다시 오겠습니다
3,2,대화는 다음에 다시 하시죠…
3,3,…
4,1,제 기술은 아버님의 고향에서 쓰였다는 무술입니다
4,2,무술을 알려드릴 수는 없습니다. 책을 보고 익힌 게 아니라…
4,3,전투 후라도 일일 신체 단련은 거를 수 없습니다
5,1,이젠 지휘관의 명령이 익숙해졌습니다
5,2,남의 지휘를 받는 것도 나쁘지 않은 것 같습니다
5,3,오늘은 좋았습니다. …오늘만 좋았다는 뜻은 아닙니다
6,1,무인은 몇 합 맞대보면 마음이 통합니다. 해보시겠습니까?
6,2,전장에서 무인을 구하는 것은 이론이 아니라 경험입니다
6,3,북부의 대련 규칙은 불살뿐입니다. 경계는 더 험난해서…
7,1,지휘관님은 제가 능력을 발휘하게 해주시는군요… 크흠
7,2,처음처럼 불편하지 않습니다. 지휘관은 조금 다르군요… 흠흠
7,3,음음… 지휘관 덕에 이런 전투도 적응할 수 있었습니다
8,1,한 번씩 고개를 숙이던데... 그러지 마십시오
8,2,당연한 걸 궁금해하는군요. 당신은 제 지휘관이라고 생각합니다
8,3,지휘관은 친한 친구가 있군요. 저는 없습니다… 있습니까?
9,1,하고 싶은 말이 있는데… 전쟁이 완전히 끝나면 하겠습니다
9,2,말솜씨가 나빠 정리가 안 되는군요. 전장에서 보여드리겠습니다
9,3,흐트러지는 일 없을 겁니다. 함께 끝을 지어봅시다
10,1,이제 작별이군요. 고마웠습니다. 지휘관님
